covariate,coef_pooled,V_w,V_b,V_t,se_pooled,riv,wald_stat,dof_old,lambda,dof_observed,dof_adj,pval,t_critical,coef_lower,coef_upper,HR_TCC_assoc,HR_TCC_assoc_lower,HR_TCC_assoc_upper,Indel
EMB_AUC,-0.008832057769708263,0.000998367275086729,0.0002653128091580283,0.001272523844550025,0.035672452180219194,0.2746049237636317,-0.24758762658334282,624.7878012007674,0.21544316881562245,192.23525300412092,147.0047147624287,0.8045348267949952,1.9637681486278245,-0.0788844831446719,0.061220367605255385,1.0088711754703856,0.9406159356540871,1.0820793164504736,Rv0759c_c.-96delG
INH_AUC,0.03533534654700625,0.0004526843589171034,0.00012512909045775468,0.0005819844190567833,0.02412435323603067,0.28562961717737984,1.4647168444802707,587.52081794013,0.22217099961066866,190.58677299139552,143.9051592112387,0.14353307055193318,1.9640099394282287,-0.012045122990835537,0.08271581608484804,0.9652816581040775,0.9206127333799854,1.012117957625041,Rv0759c_c.-96delG
Indel_Change,0.10237582852127293,0.0902980781581734,0.019869081474792,0.11082946234879179,0.33291059212466007,0.2273734348438067,0.30751748650561944,845.0297350120918,0.18525204179015153,199.63280371240992,161.48339675967563,0.7585252884116344,1.9627752642279273,-0.5510528469004825,0.7558045039430283,0.9026902311749609,0.46963264139862626,1.7350788289161034,Rv0759c_c.-96delG
Indel_Sample1,0.3179818563440549,0.07808874513190385,0.01894840939943927,0.0976687681779911,0.3125200284429641,0.2507406542775606,1.017476729182135,721.5775640640084,0.20047373803675606,195.9031228112819,154.07332292969727,0.3092677213741864,1.9632570299839318,-0.2955752865073727,0.9315389991954826,0.7276159899090144,0.3939469595430415,1.3438992634576525,Rv0759c_c.-96delG
Lineage_3,0.05238759834822346,0.15793132329078843,0.015962639650749722,0.1744260509298965,0.4176434495235098,0.1044424075947075,0.1254361786542865,3242.8764047323584,0.09456573459739356,221.85312544600822,207.64745402448503,0.9001860231980454,1.9606957860477439,-0.7664841532029658,0.8712593498994128,0.9489609798429829,0.41842427473747223,2.1521861795173396,Rv0759c_c.-96delG
Lineage_4,0.32250856902295144,0.036709154886174516,0.01777883564399828,0.05508061838497274,0.23469260402699685,0.5004599957630005,1.3741744029814125,260.6802352201885,0.3335377132187459,163.29925535629,100.40317808693771,0.17056786378612154,1.9691059755528504,-0.139626039984667,0.7846431780305698,0.7243297249822848,0.4562824843563979,1.1498437228703928,Rv0759c_c.-96delG
PZA_AUC,-0.002850957832295858,3.685238083312941e-06,1.0269789330285243e-06,4.7464496474424165e-06,0.0021786348127766655,0.28796282360554337,-1.3085983091688131,580.1386582747608,0.22358007415106568,190.2415159112093,143.26232876580104,0.19118861872022444,1.9640615291742014,-0.007129930654190146,0.0014280149895984297,1.0028550256774096,0.998573004138639,1.0071554091270096,Rv0759c_c.-96delG
RIF_AUC,1.124833415031041,0.22883754819470678,0.034904356088480686,0.2649053828194701,0.51468959851494,0.15761327155137586,2.185459776682062,1564.3698051409344,0.13615364943091085,211.6630882018405,186.43761908183055,0.029003016106875713,1.9614815774437977,0.1152792494420416,2.1343875806200403,0.32470655408443977,0.11831702783414484,0.8911172651597336,Rv0759c_c.-96delG
diabetes,0.601097463314505,0.1462561739271946,0.028986642654933236,0.17620903800395893,0.4197726027314776,0.20479726272392915,1.4319597310618633,1003.6392723277389,0.1699848340134028,203.3736360307,169.10653288215192,0.15246669247630149,1.9623304583307128,-0.22263510059823166,1.4248300272272416,0.5482096658373954,0.24054934657313654,1.2493645981539778,Rv0759c_c.-96delG
inh_resistant,0.1822680988022258,0.13297761165715777,0.029682856024555768,0.1636498962158654,0.40453664384807636,0.23065750825625267,0.45056016945321903,825.5382815374732,0.18742623898916982,199.10007321791764,160.41243384603067,0.6524248840861451,1.9628417359613959,-0.6117733094685293,0.9763095070729809,0.8333778828505274,0.3766987407735489,1.8436979486531773,Rv0759c_c.-96delG
